week,id,name,category,description,typical_week,early_range_start,early_range_end,normal_range_start,normal_range_end,late_start_week,red_flag_week,early_parent_copy,normal_parent_copy,late_parent_copy,red_flag_parent_copy,early_badge_name,early_badge_copy,normal_badge_name,normal_badge_copy
30,wk30_rocks_on_hands_and_knees,Rocks on hands and knees,gross_motor,"Baby may rock back and forth on hands and knees, preparing to crawl.",30,27,29,30,38,39,46,"Your baby reached 'Rocks on hands and knees' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Rocks on hands and knees' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Rocks on hands and knees' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Rocks on hands and knees' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Rocks on hands and knees' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Rocks on hands and knees' has been reached—lovely progress. Take a second to celebrate this stage.
31,wk31_improving_pincer_grasp,Improving pincer grasp,fine_motor,Baby starts using thumb and finger to pick up small items.,31,28,30,31,39,40,47,"Your baby reached 'Improving pincer grasp' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Improving pincer grasp' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Improving pincer grasp'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Improving pincer grasp' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Improving pincer grasp' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Improving pincer grasp' has been reached—lovely progress. Take a second to celebrate this stage.
32,wk32_pulls_to_stand_at_furniture,Pulls to stand at furniture,gross_motor,Baby uses furniture or people to pull to a standing position.,32,29,31,32,40,41,48,"Your baby reached 'Pulls to stand at furniture' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Pulls to stand at furniture' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Pulls to stand at furniture' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Pulls to stand at furniture' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Early Stand-Up,Standing up already? Your baby is working hard on strength and balance.,Milestone Reached,'Pulls to stand at furniture' has been reached—lovely progress. Take a second to celebrate this stage.
32,wk32_crawls_or_shuffles_to_move,Crawls or shuffles to move,gross_motor,Baby uses hands and knees or bottom-shuffling to get around.,32,26,30,31,44,45,52,"Your baby reached 'Crawls or shuffles to move' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Crawls or shuffles to move' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Crawls or shuffles to move' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Crawls or shuffles to move' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Early Explorer,"Your baby started moving around early—hello, babyproofing!",Milestone Reached,'Crawls or shuffles to move' has been reached—lovely progress. Take a second to celebrate this stage.
33,wk33_shows_strong_likes_and_dislikes,Shows strong likes and dislikes,social_emotional,"Baby clearly prefers certain toys, people, or routines.",33,30,32,33,41,42,49,"Your baby is showing social-emotional milestone 'Shows strong likes and dislikes' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows strong likes and dislikes' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows strong likes and dislikes' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows strong likes and dislikes' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows strong likes and dislikes' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows strong likes and dislikes' has been reached—lovely progress. Take a second to celebrate this stage.
34,wk34_cruises_along_furniture,Cruises along furniture,gross_motor,Baby walks sideways while holding onto furniture.,34,31,33,34,42,43,50,"Your baby reached 'Cruises along furniture' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Cruises along furniture' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Cruises along furniture' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Cruises along furniture' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Cruises along furniture' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Cruises along furniture' has been reached—lovely progress. Take a second to celebrate this stage.
34,wk34_points_or_reaches_toward_wanted_items,Points or reaches toward wanted items,communication,Baby indicates interest by pointing or leaning.,34,31,33,34,42,43,50,"Your baby reached 'Points or reaches toward wanted items' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Points or reaches toward wanted items' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Points or reaches toward wanted items' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Points or reaches toward wanted items' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Points or reaches toward wanted items' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Points or reaches toward wanted items' has been reached—lovely progress. Take a second to celebrate this stage.
35,wk35_understands_simple_words,Understands simple words,language,"Baby recognises words like 'ball', 'bottle' or 'bye-bye'.",35,32,34,35,43,44,51,"Your baby reached 'Understands simple words' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Understands simple words' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Understands simple words' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Understands simple words' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Understands simple words' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Understands simple words' has been reached—lovely progress. Take a second to celebrate this stage.
36,wk36_plays_simple_cause_and_effect_games,Plays simple cause-and-effect games,cognitive,"Baby pushes, bangs, or drops items to cause predictable effects.",36,33,35,36,44,45,52,"Your baby reached 'Plays simple cause-and-effect games' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Plays simple cause-and-effect games' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Plays simple cause-and-effect games'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Plays simple cause-and-effect games' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
36,wk36_stacks_or_bangs_toys_together,Stacks or bangs toys together,fine_motor,Baby may bang two toys together or start trying to stack.,36,33,35,36,44,45,52,"Your baby reached 'Stacks or bangs toys together' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Stacks or bangs toys together' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Stacks or bangs toys together'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Stacks or bangs toys together' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Stacks or bangs toys together' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Stacks or bangs toys together' has been reached—lovely progress. Take a second to celebrate this stage.
37,wk37_explores_the_house_more,Explores the house more,gross_motor,Baby moves enough to require more babyproofing.,37,34,36,37,45,46,53,"Your baby reached 'Explores the house more' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Explores the house more' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Explores the house more' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Explores the house more' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Explores the house more' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Explores the house more' has been reached—lovely progress. Take a second to celebrate this stage.
38,wk38_empties_shelves_or_containers,Empties shelves or containers,cognitive,"Baby loves taking things out of drawers, bins, or baskets.",38,35,37,38,46,47,54,"Your baby reached 'Empties shelves or containers' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Empties shelves or containers' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Empties shelves or containers'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Empties shelves or containers' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
39,wk39_intense_mouthing_of_objects,Intense mouthing of objects,oral_sensory,Baby explores textures and shapes with the mouth.,39,36,38,39,47,48,55,"Your baby reached 'Intense mouthing of objects' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Intense mouthing of objects' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Intense mouthing of objects'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Intense mouthing of objects' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
40,wk40_imitates_daily_routines,Imitates daily routines,cognitive,"Baby imitates brushing hair, using phone, or stirring with a spoon.",40,37,39,40,48,49,56,"Your baby reached 'Imitates daily routines' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Imitates daily routines' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Imitates daily routines'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Imitates daily routines' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
40,wk40_waves_bye_bye_or_claps,Waves bye-bye or claps,social_emotional,Baby may wave or clap in response to you.,40,37,39,40,48,49,56,"Your baby is showing social-emotional milestone 'Waves bye-bye or claps' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Waves bye-bye or claps' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Waves bye-bye or claps' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Waves bye-bye or claps' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Waves bye-bye or claps' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Waves bye-bye or claps' has been reached—lovely progress. Take a second to celebrate this stage.
41,wk41_repeats_favourite_books_or_games,Repeats favourite books or games,cognitive,Baby wants the same story or game again and again.,41,38,40,41,49,50,57,"Your baby reached 'Repeats favourite books or games' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Repeats favourite books or games' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Repeats favourite books or games'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Repeats favourite books or games' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
42,wk42_stands_briefly_without_support,Stands briefly without support,gross_motor,Baby may let go of furniture and stand for a moment.,42,39,41,42,50,51,58,"Your baby reached 'Stands briefly without support' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Stands briefly without support' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Stands briefly without support' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Stands briefly without support' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Stands briefly without support' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Stands briefly without support' has been reached—lovely progress. Take a second to celebrate this stage.
43,wk43_takes_a_few_independent_steps,Takes a few independent steps,gross_motor,Baby may take 1–3 wobbly steps alone.,43,40,42,43,51,52,59,"Your baby reached 'Takes a few independent steps' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Takes a few independent steps' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Takes a few independent steps' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Takes a few independent steps' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Early Walker,Those first steps came early—get ready to chase!,Milestone Reached,'Takes a few independent steps' has been reached—lovely progress. Take a second to celebrate this stage.
43,wk43_responds_to_simple_questions,Responds to simple questions,language,Baby reacts appropriately to simple questions like 'Where's mama?',43,40,42,43,51,52,59,"Your baby reached 'Responds to simple questions' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Responds to simple questions' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Responds to simple questions' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Responds to simple questions' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Responds to simple questions' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Responds to simple questions' has been reached—lovely progress. Take a second to celebrate this stage.
44,wk44_attempts_climbing,Attempts climbing,gross_motor,Baby tries to climb stairs or furniture with support.,44,41,43,44,52,53,60,"Your baby reached 'Attempts climbing' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Attempts climbing' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Attempts climbing' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Attempts climbing' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Attempts climbing' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Attempts climbing' has been reached—lovely progress. Take a second to celebrate this stage.
45,wk45_self_feeding_with_fingers,Self-feeding with fingers,fine_motor,Baby picks up food and brings it to mouth independently.,45,42,44,45,53,54,61,"Your baby reached 'Self-feeding with fingers' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Self-feeding with fingers' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Self-feeding with fingers'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Self-feeding with fingers' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Self-feeding with fingers' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Self-feeding with fingers' has been reached—lovely progress. Take a second to celebrate this stage.
45,wk45_drinks_from_a_sippy_or_open_cup_with_help,Drinks from a sippy or open cup with help,feeding,Baby can practise drinking from a small cup with support.,45,42,44,45,53,54,61,"Your baby reached 'Drinks from a sippy or open cup with help' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Drinks from a sippy or open cup with help' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Drinks from a sippy or open cup with help'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Drinks from a sippy or open cup with help' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
46,wk46_shows_strong_opinions,Shows strong opinions,social_emotional,"Baby resists some activities (diapers, dressing) and asserts preferences.",46,43,45,46,54,55,62,"Your baby is showing social-emotional milestone 'Shows strong opinions' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows strong opinions' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows strong opinions' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows strong opinions' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows strong opinions' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows strong opinions' has been reached—lovely progress. Take a second to celebrate this stage.
47,wk47_follows_simple_instructions,Follows simple instructions,cognitive,Baby responds to simple directions like 'give it to me' or 'come here'.,47,44,46,47,55,56,63,"Your baby reached 'Follows simple instructions' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Follows simple instructions' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Follows simple instructions'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Follows simple instructions' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
48,wk48_walks_holding_one_hand,Walks holding one hand,gross_motor,Baby walks while holding onto your hand for support.,48,45,47,48,56,57,64,"Your baby reached 'Walks holding one hand' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Walks holding one hand' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Walks holding one hand' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Walks holding one hand' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Walks holding one hand' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Walks holding one hand' has been reached—lovely progress. Take a second to celebrate this stage.
49,wk49_increased_independence_and_clinginess,Increased independence and clinginess,social_emotional,Baby alternates between exploring and returning for reassurance.,49,46,48,49,57,58,65,"Your baby is showing social-emotional milestone 'Increased independence and clinginess' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Increased independence and clinginess' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Increased independence and clinginess' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Increased independence and clinginess' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Increased independence and clinginess' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Increased independence and clinginess' has been reached—lovely progress. Take a second to celebrate this stage.
50,wk50_resists_bedtime_more_actively,Resists bedtime more actively,regulation,Baby may protest sleep as mobility and curiosity increase.,50,47,49,50,58,59,66,"Your baby reached 'Resists bedtime more actively' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Resists bedtime more actively' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Resists bedtime more actively'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Resists bedtime more actively' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
51,wk51_handles_multiple_objects_cleverly,Handles multiple objects cleverly,cognitive,"Baby carries more than one object, tucks toys under arm or in containers.",51,48,50,51,59,60,67,"Your baby reached 'Handles multiple objects cleverly' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Handles multiple objects cleverly' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Handles multiple objects cleverly'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Handles multiple objects cleverly' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
52,wk52_uses_first_meaningful_word,Uses first meaningful word,language,Baby uses a word like 'mama' or 'dada' to mean a specific person.,52,40,48,49,64,65,72,"Your baby reached 'Uses first meaningful word' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Uses first meaningful word' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Uses first meaningful word' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Uses first meaningful word' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Early Talker,Your baby spoke a real word ahead of the curve. Keep chatting and naming everything.,Milestone Reached,'Uses first meaningful word' has been reached—lovely progress. Take a second to celebrate this stage.
52,wk52_points_to_show_or_share_interest,Points to show or share interest,communication,Baby points toward interesting things to share them with you.,52,49,51,52,60,61,68,"Your baby reached 'Points to show or share interest' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Points to show or share interest' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Points to show or share interest' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Points to show or share interest' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Points to show or share interest' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Points to show or share interest' has been reached—lovely progress. Take a second to celebrate this stage.
